Title,Price (PHP),Exact Lifetime Sold,Monthly Sold
AULA WIN60/68HE Magnetic Keyboard Gaming RT Wired RGB Hot-swap 8kHz low latency Mechanical Keyboard,2199.0,45,24
AULA F108 PRO Mechanical Keyboard 104 keys Bluetooth/2.4G/wired Hot swappable Office Gaming Keyboard,3999.0,17,17
Rapoo V500PRO Backlit Mechanical Gaming Wired Keyboard With Numpad RGB LED (Blue Switch)For Computer,1499.0,3,3
[12.12 MEGA SALE] ATTACK SHARK X85/X85 Pro Wireless Mechanical Keyboard 75% 80 Key Wired Bluetooth,1250.0,0,0
Zeus ZK-82 Gasket Wired Hot Swapple Mechanical Keyboard,829.0,389,86
AULA HERO 68HE Magnetic RT Mechanical Keyboard 68Keys Wired RGB Hot Swappable Magnetic Switch,1799.0,15,11
Wireless gaming keyboard 2.4G/Dual Bluetooth RGB backlit mechanical-feel keyboard with smart display,400.0,0,0
Zeus x Raiku K-16 104 Keys RGB Gaming Keyboard Backlight Wired Mechanical Keyboard Feel 3 Color Mix,529.0,124,19
AULA F87 87Keys Tri-Mode Mechanical Keyboard RGB Hot-Swap Customized Keyboard Wired/2.4G/Bluetooth Side Engraved Keycaps Support Driver Software Grey Wood Switch V4,2279.0,5000,205
[SALE] ATTACK SHARK X85 / X85 Pro Wireless Mechanical Keyboard 75% 80-Key RGB Gasket Gaming Keyboard,1200.0,0,0
COD Original Product K Wireless Mechanical Keyboard Keys Hot Swappable G BT Dual Mode Mini Gaming,436.0,0,0
Redragon Sindri K671 104‑Key RGB Mechanical Gaming Keyboard (Hot‑Swappable Red Switch),1368.0,2,2
ME mixed ledlight 94 key contrast color mechanical feeling gaming keyboard K82,420.0,669,2
Onikuma G30 Wired Mechanical Gaming Keyboard 84 Keys USB Mini Durable Keyboard For PC Laptop,688.0,0,0
Aula F75 Mechanical Keyboard 75% 80 Key RGB Tri-Mode Bluetooth 2.4G Gasket Structure Hot-swap,1360.0,0,0
CPSTECH Shimmer Mechanical Keyboard 100% 98 Keys 100 Type-C Wired Wireless Gaming With Numpad,1280.0,10000,141
Zeus x Raiku GK68 68Keys RGB Wired Mechanical Gaming Keyboard Compact Layout Type-C Detachable Cable,1099.0,12,3
Redragon K552-2 Kumara Wired Mechanical Gaming Keyboard (RPC Linear Switch),1550.0,48,38
[2026 SUPERSALE]AULA L99 84-Key Tri-Mode Mechanical Keyboard IPS Touchscreen 8000mAh Custom RGB,1275.0,0,0
Zeus x Raiku 83Keys Wired RGB Mechanical Keyboard w/ Multi-Function Knob Compact Layout Type C,1099.0,27,13
AULA F75max Mechanical Keyboard 75% 80Key Bluetooth 2.4G USB-C LCD Screen Multi-Function Knob RGB,3499.0,186,124
"【AULA SALE】AULA F108 PRO Gaming Mechanical Keyboard – Full Layout, Hot-Swap Switches, RGB Lighting",1230.0,0,0
RGB Gaming Keyboard Mechanical Wired USB Mouses Set Combo With Wrist Rest Individually Backlit Mouse,549.0,614,16
AULA HERO99 Magnetic Mechanical Keyboard 101Keys Wired 8Khz with Rapid Trigger  RGB Esports,3899.0,5,5
"ASUS ROG Strix Scope RX EVA-02 Edition, 100% RGB Gaming Keyboard, rog RX Optical Mechanical Switches",1164.0,0,0
K820 Mixed led light wired mechanical feeling gaming keyboard and mouse combo,959.0,22,0
Aula S75 Pro Black Star Vector Mechanical Keyboard 80 Keys Gradient Gray,3070.0,17,4
AULA S2022 True Mechanical Keyboard Gaming 104 Keys Wrist Rest Multimedia Knob Marco Programming,1299.0,57,12
[2026 SUPERSALE]AULA S98 Pro 96-Key Wireless Mechanical Keyboard Tri-Mode BT/2.4G/TypeC RGB Hot-Swap,1232.0,0,0
Zeus x Raiku K-16 RGB Gaming Keyboard 104 Keys Backlight Wired Mechanical Keyboard Feel 3 Color Mix,559.0,922,77
Furycube IP98 Waterproof Mechanical Feel Keyboard RGB Backlit Silent Office Keyboard with Knob,779.0,2000,389
CPSTECH CT-87 Hot Swappable Mechanical USB Wired Gaming Keyboard Gamer Colorful Led,796.0,8000,90
Rapoo V50S Backlit Mechanical Wired Ergonomic Gaming Keyboard For Laptop Computer PC Spill Resistant,969.0,5,5
Attack Shark X87 Tri-Mode Mechanical Keyboard RGB Hot-Swap Wireless Customized Keybo,2099.0,441,77
[SALE] Attack Shark X87 Tri-Mode Mechanical Keyboard RGB Hot-Swap Wireless Customized Keyboard,1199.0,0,0
ElecFox INKY 75 Aluminum Full Build Mechanical Keyboard 75% Layout Wired Wireless Mode RGB Keyboard,3888.0,1000,221
ZIFRIEND Mechanical Keyboard 60% Wired Type-C Red Blue Switch Swappable Rainbow Gaming For PC 63 Key,699.0,2000,23
Nexion Mechanical Keyboard With Blue Switch Hot Swappable RGB Portable Type-C Gaming Keyboard,698.0,270,61
